lrk_id;type_oko;actuele_naam_oko;aantal_kindplaatsen;status;inschrijfdatum;uitschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;naam_houder;kvk_nummer_houder;rechtsvorm_houder;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10
 ;PSZ;Peuterspeelzaal Dribbel;16;Ingeschreven;01-01-2015;;Vondellaan 2 ;3743HZ;BAARN;Versa Welzijn;41192015;Stichting;Larenseweg 30 ;1221CN;HILVERSUM;;;;;;Karin van Rijn;'';;http://www.versawelzijn.nl;308;Baarn;
 ;PSZ;Stichting Peuterschool Houten, locatie Oude Dorp;16;Ingeschreven;12-11-2014;;Loerikseweg 11A ;3991AA;HOUTEN;Stichting Peuterschool Houten;30201026;Stichting;Zonnehout 36 ;3991MX;HOUTEN;;;;;;Margreth Ooijen;'0644928719';m.ooijen@peuterschoolhouten.nl;;321;Houten;
 ;PSZ;Zandkasteel;16;Ingeschreven;01-01-2015;;Lennisheuvel 52 ;5281LG;BOXTEL;Kindercentrum Kindertuin Peuterspeelzalen BV;51425351;BV;Jan Kruijsenstraat 15 ;5281JL;BOXTEL;;;;;;E. Keeris;'0411689110';esther.keeris@kindertuin.com;http://www.kindertuin.com;757;Boxtel;
 ;PSZ;Kleine Pinokkio;48;Ingeschreven;05-11-2014;;Jan van Scorelstraat 3 ;7741XM;COEVORDEN;Stichting Peuterspeelzalen Gemeente Coevorden;04084525;Stichting;Brink 1 ;7841CE;SLEEN;;;;;;;'';;;109;Coevorden;
 ;PSZ;Peuterspeelzaal Dribbel;15;Ingeschreven;05-01-2015;;Kanaal A NZ 191 ;7881KS;EMMER-COMPASCUUM;K.S. Vos;04078550;Eenmanszaak;Lange Kavel 50 ;7881LS;EMMER-COMPASCUUM;;;;;;K.S. Vos;'0649051216';info@kinderopvangdribbel.nl;http://www.kinderopvangdribbel.nl;114;Emmen;
 ;PSZ;PSZ Berend Botje locatie De Kabouterkring;16;Ingeschreven;05-01-2015;;Beukenlaan 79 ;1676GS;TWISK;Stichting Peuterspeelzalen Berend Botje Medemblik;51417057;Stichting;De Oude Veiling 7 ;1689AA;ZWAAG;;;;;;G.A. Alberts-Hartemink;'088 2337000';kinderopvang@berendbotje.nl;http://www.berendbotje.nl;420;Medemblik;
 ;PSZ;Peuterspeelzaal Wildebras;32;Ingeschreven;22-12-2014;;Steenwijklaan 10 ;2541RL;DEN HAAG;Stichting MOOI;41157630;Stichting;Postbus 43197;2504AD;DEN HAAG;;;;;;I. van der Stijl;'070-2052000';wildebras@stichtingmooi.nl;http://www.stichtingmooi.nl;518;'s-Gravenhage;
 ;PSZ;Ukkepuk Kinderopvang;16;Ingeschreven;01-01-2015;;C.M. van Everdingenstraat 24a ;7165AK;RIETMOLEN;n.v.t;54579090;Eenmanszaak;;;;;;;;;mw. B.H.H.M. Weeink-Besseling;'06-30610467';info@ukkepuk-kinderopvang.nl;http://www.ukkepuk-kinderopvang.nl;1859;Berkelland;
 ;PSZ;Ukkepuk;14;Ingeschreven;30-12-2014;;Nieuwe Wetering 251 ;3194TB;HOOGVLIET ROTTERDAM;Plein nul10 Peuterspeelzalen B.V.;41136058;BV;Postbus 2150;3000CD;ROTTERDAM;;;;;;V. Vorage;'010-4430033';info@kinderdam.nl;;599;Rotterdam;
 ;PSZ;Partou PSZ Javaplantsoen 17-19;24;Ingeschreven;24-10-2014;;Javaplantsoen 17 19;1095CR;AMSTERDAM;Partou Kinderopvang B.V.;30225440;BV;Postbus 396;4130EJ;VIANEN UT;;;;;;;'020 4633051';info@partou.nl;http://www.partou.nl;363;Amsterdam;
 ;PSZ;vve/psz Koko en Borre;16;Ingeschreven;01-01-2015;;Pieter Aertszstraat 106 ;1074VT;AMSTERDAM;Combiwel Ondernemend Welzijn B.V.;41204269;BV;Postbus 95304;1090HH;AMSTERDAM;;;;;;Edith Terhaag;'020 5754700';e.terhaag@combiwel.nl;;363;Amsterdam;
 ;PSZ;Partou PSZ Schuitenhuisstraat 5;15;Ingeschreven;05-01-2015;;Schuitenhuisstraat 5 ;1069WK;AMSTERDAM;Partou Kinderopvang B.V.;30225440;BV;Postbus 396;4130EJ;VIANEN UT;;;;;;Secretariaat;'0882357550';regiosecretariaat@partou.nl;http://www.partou.nl;363;Amsterdam;
 ;PSZ;Doomijn PSZ. Lijsterstraat;16;Ingeschreven;22-12-2014;;Lijsterstraat 6 ;8471DN;WOLVEGA;Stichting Doomijn Peuterspeelzalen;59356782;Stichting;Koestraat 6 ;8011NK;ZWOLLE;;;;;;A. de Reus;'0620846448';adreus@doomijn.nl;http://www.doomijn.nl;98;Weststellingwerf;
 ;PSZ;De Toverberg;15;Ingeschreven;09-12-2014;;Korne 180 ;3068GN;ROTTERDAM;Kinderopvang BijDeHand BV;41135920;BV;Spoorhaven 10 18;2651AV;BERKEL EN RODENRIJS;;Postbus 85014;3009MA;ROTTERDAM;;A.C. de Jong;'010-2862777';info@kov-bijdehand.nl;http://www.kov-bijdehand.nl;599;Rotterdam;
 ;PSZ;Ukke Pukkie;16;Ingeschreven;29-12-2014;;'t Caphorst 2 ;7688RK;DAARLE;Stichting Peuterspeelzalen Gemeente Hellendoorn;41032132;Stichting;Dahliastraat 21 ;7442LA;NIJVERDAL;;;;;;M.Diderich;'0548-638816';m.diderich@spghnijverdal.nl;;163;Hellendoorn;
 ;PSZ;PSZ 't Duikelaartje;16;Ingeschreven;01-01-2015;;Willem Smuldersplein 4a ;5582JJ;WAALRE;Stichting Peuterspeelzalen Waalre;41087511;Stichting;Postbus 769;5000AT;TILBURG;;Willem Smuldersplein 4a ;5582JJ;WAALRE;;Servicebureau Kinderopvang;'013-5838040';info@sbkinderopvang.nl;http://www.peuterspeelzalenwaalre.nl;866;Waalre;
 ;PSZ;Klim-Op;15;Ingeschreven;07-01-2015;;Nolenslaan 33 ;3515VB;UTRECHT;Stichting Spelenderwijs Utrecht;57529892;Stichting;Niasstraat 6c ;3531WP;UTRECHT;;Nolenslaan 33 ;3515VB;UTRECHT;;Hetty Goosen;'06-13135872';drbos@spelenderwijsutrecht.nl;http://www.spelenderwijsutrecht.nl;344;Utrecht;
 ;PSZ;De Triangel;16;Ingeschreven;14-01-2015;;Balkerweg 59 ;7738PA;WITHAREN;Stichting Landstede Kinderopvang;41025466;Stichting;Rechterland 1 ;8024AH;ZWOLLE;;;;;;mevr. C. Hakkesteegt;'0888508815';kinderopvang@landstede.nl;;175;Ommen;
 ;PSZ;Peuterspeelzaal Hoefslag;16;Ingeschreven;01-01-2015;;Hoefslag 18 ;8077SZ;HULSHORST;Stichting Doomijn Peuterspeelzalen;59356782;Stichting;Koestraat 6 ;8011NK;ZWOLLE;;Hoefslag 18 ;8077SZ;HULSHORST;;mevrouw K.H. Borst;'0681193632';kh.borst@doomijn.nl;http://www.doomijn.nl;302;Nunspeet;
 ;PSZ;Peuterspeelzaal Koekeloere;16;Ingeschreven;23-12-2014;;Frederik Maystraat 33 ;4614EG;BERGEN OP ZOOM;Stichting Peuterspeelzalen Bergen op Zoom;41102337;Stichting;Postbus 18080;4601ZB;BERGEN OP ZOOM;;Frederik Maystraat 33 ;4614EG;BERGEN OP ZOOM;;M-th. Gemmeke;'0164-246068';mthgemmeke@peuterspeelzalenboz.nl;http://www.peuterspeelzalenboz.nl;748;Bergen op Zoom;
 ;PSZ;It Wrottershonk;16;Ingeschreven;03-11-2014;;Skoallestrjitte 14 ;9298PT;KOLLUMERZWAAG;stichting It Wrottershonk;61685585;Stichting;Skoallestrjitte 14 ;9298PT;KOLLUMERZWAAG;;Skoallestrjitte 14 ;9298PT;KOLLUMERZWAAG;;B. Schotanus-Pompstra;'0511-705521';stichtingitwrottershonk@gmail.com;;79;Kollumerland c.a.;
 ;PSZ;(k)individu meidoornlaan;16;Ingeschreven;12-01-2015;;Meidoornlaan 13 ;1829EA;OUDORP NH;Kindividu;37155942;VOF;Hamsterkoog 15 ;1822CD;ALKMAAR;;Meidoornlaan 13 ;1829EA;OUDORP NH;;Inge Kramer;'0614429911';info@kindividu.nl;http://www.kindividu.nl;361;Alkmaar;
